timestamp,mac,rssi,origem
2025-04-05 15:31:24.033463,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.035154,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.094417,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.217634,a0:de:0f:60:67:8d,-84.0,-84 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.337237,1e:98:11:c5:8f:2f,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.419704,52:9f:14:d9:81:25,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:24.875345,dc:4f:22:fa:54:46,-74.0,-74 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.003383,54:4b:54:24:74:37,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.015998,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.027421,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.056816,a0:de:0f:60:67:88,-80.0,-80 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.059382,30:cc:21:14:be:83,-17.0,-17 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.059579,50:8a:06:fc:81:4d,-56.0,-56 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.173476,dc:4f:22:fa:54:46,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.241366,a0:de:0f:60:67:8d,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.248709,1e:98:11:c5:8f:2f,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.416708,00:e0:20:5c:07:c5,-85.0,-85 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.808072,d8:77:8b:f0:ad:72,-82.0,-82 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:25.980383,52:9f:14:d9:81:25,-77.0,-77 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.040006,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.051414,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.051640,52:9f:14:d9:81:25,-76.0,-76 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.061246,a0:de:0f:60:67:8d,-81.0,-81 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.081583,30:cc:21:14:be:83,-17.0,-17 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.119901,dc:4f:22:fa:54:46,-75.0,-75 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.212396,50:8a:06:fc:81:4d,-53.0,-53 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.221965,1e:98:11:c5:8f:2f,-71.0,-71 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.474306,b8:c6:aa:72:e5:fa,-36.0,-36 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.522671,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.605486,a0:de:0f:60:67:88,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:26.987512,74:ec:b2:78:e1:3e,-41.0,-41 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.003361,30:cc:21:14:be:83,-16.0,-16 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.025747,54:4b:54:24:74:37,-83.0,-83 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.064004,54:4b:54:2b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.075432,56:4b:54:3b:84:8f,-62.0,-62 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.092114,38:7a:cc:9f:06:f2,-80.0,-80 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.163093,dc:4f:22:fa:54:46,-70.0,-70 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.179331,52:9f:14:d9:81:25,-69.0,-69 dBm | Origem: Cliente desconhecido
2025-04-05 15:31:27.187078,a0:de:0f:60:67:8d,-82.0,-82 dBm | Origem: Cliente desconhecido
